Tipo,X,Y
Ejecutada,-0.05094083954389167,-0.4565216037432751
Ejecutada,-0.05118432406413759,-0.44835024052845585
Ejecutada,-0.051419530747820054,-0.44011423840208713
Ejecutada,-0.05165473743150255,-0.43187823627571825
Ejecutada,-0.051889944115185015,-0.42364223414934954
Ejecutada,-0.05213342863543093,-0.4154708709345303
Ejecutada,-0.052376913155676864,-0.4072995077197112
Ejecutada,-0.05261211983935936,-0.3990635055933423
Ejecutada,-0.052847326523041825,-0.3908275034669736
Ejecutada,-0.05308253320672427,-0.3825915013406047
Ejecutada,-0.05332601772697019,-0.37442013812578545
Ejecutada,-0.05356950224721612,-0.36624877491096636
Ejecutada,-0.053804708930898615,-0.3580127727845975
Ejecutada,-0.05403991561458108,-0.34977677065822876
Ejecutada,-0.054283400134827,-0.3416054074434095
Ejecutada,-0.05452688465507293,-0.3334340442285904
Ejecutada,-0.054762091338755425,-0.32519804210222153
Ejecutada,-0.05499729802243789,-0.3169620399758528
Ejecutada,-0.05523250470612034,-0.30872603784948394
Ejecutada,-0.055475989226366255,-0.3005546746346647
Ejecutada,-0.05547598922636624,-0.30055467463466484
Ejecutada,-0.05700575898398357,-0.2925240914684944
Ejecutada,-0.058537553783580075,-0.28442837297650553
Ejecutada,-0.06006934858317657,-0.2763326544845168
Ejecutada,-0.0615991183407939,-0.26830207131834655
Ejecutada,-0.06312888809841123,-0.2602714881521761
Ejecutada,-0.06466068289800773,-0.25217576966018723
Ejecutada,-0.06619247769760422,-0.2440800511681985
Ejecutada,-0.06772427249720071,-0.23598433267620977
Ejecutada,-0.0692321330030535,-0.2280151097856583
Ejecutada,-0.07076392780265,-0.21991939129366944
Ejecutada,-0.07229572260224651,-0.21182367280168057
Ejecutada,-0.073827517401843,-0.20372795430969184
Ejecutada,-0.07535931220143949,-0.19563223581770312
Ejecutada,-0.07686717270729228,-0.18766301292715165
Ejecutada,-0.07839896750688878,-0.17956729443516278
Ejecutada,-0.07839896750688874,-0.17956729443516292
Ejecutada,-0.0783989675068888,-0.17956729443516278
Ejecutada,-0.0783989675068888,-0.17956729443516278
Ejecutada,-0.0783989675068887,-0.1795672944351629
Ejecutada,-0.0843874124400952,-0.1740023156587385
Ejecutada,-0.0843874124400952,-0.1740023156587385
Ejecutada,-0.08438741244009533,-0.17400231565873842
Ejecutada,-0.08438741244009519,-0.17400231565873847
Ejecutada,-0.08438741244009533,-0.17400231565873844
Ejecutada,-0.09250843791144642,-0.17306454874006127
Ejecutada,-0.10069223220662395,-0.172109266507515
Ejecutada,-0.10069223220662409,-0.172109266507515
Ejecutada,-0.10892424060533333,-0.17245724773284093
Ejecutada,-0.11709235757568898,-0.17279239942787827
Ejecutada,-0.12526047454604478,-0.17312755112291564
Ejecutada,-0.13349248294475416,-0.1734755323482416
Ejecutada,-0.1417244913434634,-0.1738235135735675
Ejecutada,-0.14995649974217265,-0.17417149479889343
Ejecutada,-0.15805988300965212,-0.17451403881757366
Ejecutada,-0.1662918914083615,-0.1748620200428996
Ejecutada,-0.1745238998070709,-0.17521000126822556
Ejecutada,-0.18275590820578014,-0.17555798249355148
Ejecutada,-0.1909240251761358,-0.1758931341885888
Ejecutada,-0.1990921421464916,-0.17622828588362613
Ejecutada,-0.20732415054520098,-0.17657626710895208
Ejecutada,-0.21555615894391036,-0.17692424833427803
Ejecutada,-0.22378816734261947,-0.17727222955960395
Ejecutada,-0.2319562843129754,-0.17760738125464132
Ejecutada,-0.24012440128333107,-0.17794253294967868
Ejecutada,-0.2483564096820403,-0.1782905141750046
Ejecutada,-0.25658841808074984,-0.17863849540033053
Ejecutada,-0.2648204264794589,-0.17898647662565645
Ejecutada,-0.27292380974693825,-0.17932902064433665
Ejecutada,-0.2811558181456478,-0.17967700186966257
Ejecutada,-0.289387826544357,-0.1800249830949885
Ejecutada,-0.29761983494306643,-0.18037296432031444
Ejecutada,-0.3058518433417757,-0.1807209455456404
Ejecutada,-0.313955226609255,-0.18106348956432058
Ejecutada,-0.32218723500796453,-0.1814114707896465
Ejecutada,-0.3304192434066738,-0.18175945201497243
Ejecutada,-0.3386512518053829,-0.1821074332402983
Ejecutada,-0.3468193687757389,-0.18244258493533563
Ejecutada,-0.34675504577481914,-0.18244504429555403
Ejecutada,-0.3468182059031667,-0.18243262273819974
Ejecutada,-0.3468182059031668,-0.18243262273819968
Ejecutada,-0.3468182059031668,-0.18243262273819968
Ejecutada,-0.3468182059031667,-0.18243262273819977
Ejecutada,-0.3468182059031668,-0.18243262273819966
Ejecutada,-0.3468182059031668,-0.18243262273819966
Ejecutada,-0.34681820590316675,-0.1824326227381998
Ejecutada,-0.34962739682451593,-0.1746869465522874
Ejecutada,-0.34962739682451593,-0.1746869465522874
Ejecutada,-0.34962739682451593,-0.1746869465522874
Ejecutada,-0.34987088134476185,-0.16651558333746813
Ejecutada,-0.35011436586500777,-0.15834422012264887
Ejecutada,-0.3503699622476675,-0.15010882555415533
Ejecutada,-0.3506255586303272,-0.1418734309856621
Ejecutada,-0.3508811550129869,-0.13363803641716857
Ejecutada,-0.3511327577021675,-0.12553131988880784
Ejecutada,-0.3513883540848272,-0.11729592532031431
Ejecutada,-0.3516439504674869,-0.10906053075182079
Ejecutada,-0.3518995468501466,-0.10082513618332756
Ejecutada,-0.35214303137039255,-0.0926537729685083
Ejecutada,-0.35213985046243856,-0.0925894816104219
Ejecutada,-0.35213985046243856,-0.0925894816104219
Ejecutada,-0.35216275865535057,-0.09264963733830804
Ejecutada,-0.35216275865535057,-0.09264963733830804
Ejecutada,-0.35216275865535057,-0.09264963733830804
Ejecutada,-0.35216275865535057,-0.09264963733830804
Ejecutada,-0.3521627586553508,-0.0926496373383082
Ejecutada,-0.3521627586553505,-0.09264963733830808
Ejecutada,-0.3521627586553505,-0.09264963733830808
Ejecutada,-0.34405395516130954,-0.09118869274503111
Ejecutada,-0.34405395516130927,-0.09118869274503108
Ejecutada,-0.34405395516130927,-0.09118869274503108
Ejecutada,-0.335958813557045,-0.09232849268669197
Ejecutada,-0.327863671952781,-0.09346829262835277
Ejecutada,-0.327863671952781,-0.09346829262835277
Ejecutada,-0.31998526405023814,-0.0958802922408635
Ejecutada,-0.3121068561476953,-0.09829229185337424
Ejecutada,-0.31210685614769557,-0.09829229185337413
Ejecutada,-0.3047077220979338,-0.1019171875102534
Ejecutada,-0.29742419951770016,-0.10548544417249364
Ejecutada,-0.2900250654679384,-0.10911033982937292
Ejecutada,-0.28274154288770476,-0.11267859649161316
Ejecutada,-0.27534240883794325,-0.11630349214849235
Ejecutada,-0.26794327478818175,-0.11992838780537154
Ejecutada,-0.2605441407384205,-0.12355328346225056
Ejecutada,-0.253145006688659,-0.12717817911912974
Ejecutada,-0.24586148410842512,-0.13074643578137016
